timestamp,open,high,low,close
1787184000000,4511.835,4514.715,4510.605,4513.955
1787184060000,4513.925,4517.285,4513.825,4515.995
1787184120000,4516.135,4516.665,4513.865,4515.915
1787184180000,4516.055,4519.265,4515.235,4516.805
1787184240000,4516.945,4516.945,4515.015,4515.195
1787184300000,4514.905,4517.365,4514.405,4517.365
1787184360000,4517.265,4518.265,4514.875,4515.225
1787184420000,4515.375,4517.215,4514.225,4517.065
1787184480000,4516.895,4518.315,4516.325,4517.485
1787184540000,4517.665,4518.655,4514.825,4515.365
1787184600000,4515.475,4515.475,4512.845,4514.495
1787184660000,4514.685,4515.645,4514.275,4515.015
1787184720000,4514.885,4516.185,4514.085,4514.085
1787184780000,4514.095,4514.755,4513.445,4513.785
1787184840000,4513.915,4516.725,4513.405,4516.535
1787184900000,4516.635,4517.155,4514.515,4515.375
1787184960000,4515.255,4516.845,4514.835,4516.825
1787185020000,4516.715,4521.225,4516.275,4520.755
1787185080000,4520.655,4521.695,4520.165,4520.815
1787185140000,4520.645,4521.365,4517.955,4518.445
1787185200000,4518.465,4518.595,4515.605,4515.755
1787185260000,4515.895,4515.895,4511.335,4511.745
1787185320000,4511.585,4512.915,4510.715,4511.115
1787185380000,4511.015,4511.725,4510.585,4511.075
1787185440000,4511.175,4512.455,4510.435,4512.275
1787185500000,4512.165,4512.215,4510.925,4511.525
1787185560000,4511.405,4512.285,4511.165,4511.245
1787185620000,4511.415,4512.805,4509.035,4509.545
1787185680000,4509.685,4512.795,4509.365,4511.485
1787185740000,4511.585,4513.275,4510.895,4510.895
1787185800000,4510.685,4512.855,4509.985,4512.015
1787185860000,4512.045,4513.955,4511.255,4512.395
1787185920000,4512.585,4513.275,4511.055,4511.685
1787185980000,4511.565,4512.005,4511.055,4511.255
1787186040000,4511.485,4512.625,4510.975,4511.915
1787186100000,4512.095,4512.255,4509.255,4509.565
1787186160000,4509.585,4511.785,4509.585,4511.775
1787186220000,4511.655,4512.155,4511.165,4511.955
1787186280000,4512.055,4512.055,4510.125,4510.225
1787186340000,4510.565,4510.565,4509.315,4509.655
1787186400000,4509.795,4509.895,4508.535,4508.825
1787186460000,4509.015,4509.455,4505.725,4505.775
1787186520000,4506.125,4507.615,4504.645,4505.065
1787186580000,4504.675,4505.205,4504.215,4504.655
1787186640000,4504.425,4507.615,4504.245,4506.275
1787186700000,4506.165,4507.725,4504.805,4507.675
1787186760000,4507.545,4508.165,4505.495,4506.675
1787186820000,4506.555,4507.795,4505.445,4507.025
1787186880000,4507.275,4507.545,4506.115,4507.195
1787186940000,4507.045,4508.555,4506.845,4507.875
1787187000000,4507.755,4510.615,4507.755,4508.715
1787187060000,4508.575,4509.055,4505.415,4506.245
1787187120000,4506.375,4507.715,4505.845,4507.595
1787187180000,4507.415,4508.135,4506.585,4508.135
1787187240000,4508.015,4508.015,4505.125,4506.565
1787187300000,4506.725,4507.235,4505.665,4506.295
1787187360000,4506.195,4506.945,4505.065,4506.675
1787187420000,4506.795,4508.695,4506.405,4508.425
1787187480000,4508.255,4510.885,4508.015,4509.995
1787187540000,4510.105,4510.105,4504.225,4504.975
1787187600000,4505.145,4510.585,4504.585,4507.305
1787187660000,4507.405,4508.395,4500.555,4500.805
1787187720000,4501.165,4502.055,4496.175,4496.175
1787187780000,4496.005,4496.955,4494.035,4494.605
1787187840000,4494.705,4494.865,4493.005,4493.445
1787187900000,4493.595,4495.855,4493.025,4494.825
1787187960000,4494.685,4495.565,4492.045,4492.235
1787188020000,4492.505,4496.665,4492.315,4495.715
1787188080000,4495.755,4500.015,4495.755,4497.785
1787188140000,4497.675,4499.555,4497.015,4499.115
1787188200000,4498.685,4498.805,4494.625,4494.875
1787188260000,4494.675,4495.845,4493.525,4493.545
1787188320000,4493.795,4495.985,4493.645,4495.515
1787188380000,4495.455,4495.845,4492.445,4492.855
1787188440000,4492.855,4494.635,4492.855,4493.655
1787188500000,4493.765,4500.045,4493.485,4496.385
1787188560000,4496.485,4497.215,4493.625,4493.935
1787188620000,4494.105,4497.175,4493.775,4496.285
1787188680000,4496.185,4498.365,4496.045,4496.605
1787188740000,4496.735,4499.803,4495.585,4499.295
1787188800000,4499.305,4502.505,4499.305,4501.855
1787188860000,4501.755,4504.025,4501.315,4501.755
1787188920000,4501.685,4503.145,4500.985,4501.695
1787188980000,4501.585,4502.595,4501.295,4501.405
1787189040000,4501.545,4503.005,4500.855,4502.725
1787189100000,4502.425,4502.425,4499.745,4499.745
1787189160000,4499.785,4500.585,4498.275,4498.965
1787189220000,4499.085,4500.515,4498.385,4500.345
1787189280000,4500.145,4503.875,4499.845,4500.975
1787189340000,4500.765,4502.415,4500.165,4500.835
1787189400000,4500.685,4501.365,4495.975,4501.215
1787189460000,4501.215,4501.695,4497.715,4498.605
1787189520000,4498.365,4499.385,4496.855,4499.125
1787189580000,4499.005,4500.055,4497.275,4499.905
1787189640000,4500.005,4501.555,4497.845,4498.955
1787189700000,4499.025,4500.285,4498.425,4498.875
1787189760000,4499.015,4499.415,4496.445,4497.595
1787189820000,4497.595,4498.275,4496.595,4497.185
1787189880000,4497.185,4498.575,4496.225,4498.275
1787189940000,4498.135,4498.295,4494.185,4495.955
1787190000000,4496.085,4499.115,4495.385,4499.025
1787190060000,4498.895,4499.855,4495.825,4496.595
1787190120000,4496.385,4496.635,4493.845,4495.285
1787190180000,4495.125,4496.565,4494.755,4495.965
1787190240000,4496.085,4496.515,4494.135,4494.165
1787190300000,4494.335,4495.715,4493.105,4493.505
1787190360000,4493.385,4496.075,4493.205,4494.435
1787190420000,4494.395,4494.835,4492.695,4493.015
1787190480000,4492.855,4493.875,4492.665,4492.695
1787190540000,4492.885,4493.785,4489.445,4490.105
1787190600000,4490.105,4490.905,4489.785,4490.795
1787190660000,4490.605,4490.785,4488.885,4489.575
1787190720000,4489.345,4489.985,4489.015,4489.325
1787190780000,4489.045,4489.325,4485.925,4486.305
1787190840000,4486.425,4486.425,4484.765,4485.455
1787190900000,4485.565,4487.595,4485.035,4486.905
1787190960000,4487.005,4488.065,4486.115,4487.685
1787191020000,4487.565,4487.995,4485.965,4486.885
1787191080000,4487.065,4488.985,4485.895,4488.125
1787191140000,4488.315,4491.295,4487.555,4490.015
1787191200000,4490.015,4491.815,4488.765,4490.985
1787191260000,4490.885,4494.125,4490.885,4493.625
1787191320000,4493.485,4496.285,4493.345,4495.295
1787191380000,4495.125,4499.055,4494.415,4497.425
1787191440000,4497.285,4498.545,4496.335,4498.135
1787191500000,4498.235,4499.485,4497.775,4498.525
1787191560000,4498.485,4499.205,4496.455,4496.455
1787191620000,4496.595,4498.165,4495.155,4495.765
1787191680000,4495.805,4496.985,4494.535,4495.335
1787191740000,4495.515,4497.865,4495.125,4496.065
1787191800000,4495.855,4498.125,4495.835,4498.125
1787191860000,4498.165,4499.475,4497.935,4498.045
1787191920000,4497.945,4499.715,4497.575,4499.155
1787191980000,4499.305,4500.335,4498.475,4498.585
1787192040000,4498.585,4498.755,4497.485,4498.245
1787192100000,4497.865,4498.285,4495.425,4496.435
1787192160000,4496.275,4497.255,4495.445,4496.015
1787192220000,4496.095,4497.225,4495.965,4496.535
1787192280000,4496.665,4496.665,4490.985,4490.985
1787192340000,4490.745,4492.555,4489.855,4491.755
1787192400000,4491.635,4492.165,4489.535,4489.535
1787192460000,4490.025,4491.105,4489.755,4490.955
1787192520000,4491.075,4492.155,4490.725,4492.075
1787192580000,4491.955,4493.575,4491.815,4493.095
1787192640000,4493.235,4494.775,4492.705,4494.555
1787192700000,4494.455,4495.515,4492.865,4493.075
1787192760000,4492.895,4493.745,4491.995,4492.465
1787192820000,4492.465,4492.795,4491.935,4491.935
1787192880000,4491.735,4493.905,4491.485,4493.545
1787192940000,4493.665,4493.705,4492.365,4493.205
1787193000000,4493.365,4494.305,4491.125,4492.785
1787193060000,4492.925,4495.225,4492.525,4494.395
1787193120000,4494.285,4494.415,4492.365,4494.085
1787193180000,4493.955,4494.205,4492.665,4493.465
1787193240000,4493.355,4493.985,4491.775,4492.105
1787193300000,4492.105,4492.775,4490.735,4491.875
1787193360000,4491.765,4492.625,4490.905,4490.905
1787193420000,4490.755,4493.925,4490.745,4493.485
1787193480000,4493.595,4494.555,4491.985,4492.445
1787193540000,4492.445,4493.335,4491.815,4493.205
1787193600000,4493.065,4493.105,4490.975,4491.805
1787193660000,4491.915,4494.555,4491.495,4494.395
1787193720000,4494.265,4494.485,4490.795,4490.795
1787193780000,4490.795,4492.615,4490.405,4492.225
1787193840000,4492.175,4492.185,4490.495,4490.875
