timestamp,open,high,low,close
1787184000000,4510.895,4513.945,4509.665,4513.125
1787184060000,4513.165,4516.495,4513.055,4515.245
1787184120000,4515.385,4515.915,4513.085,4515.165
1787184180000,4515.305,4518.505,4514.455,4516.045
1787184240000,4516.185,4516.185,4514.235,4514.425
1787184300000,4514.135,4516.605,4513.625,4516.605
1787184360000,4516.495,4517.495,4514.125,4514.475
1787184420000,4514.625,4516.465,4513.475,4516.315
1787184480000,4516.145,4517.565,4515.575,4516.735
1787184540000,4516.915,4517.905,4514.135,4514.675
1787184600000,4514.775,4514.775,4512.155,4513.805
1787184660000,4513.995,4514.955,4513.495,4514.235
1787184720000,4514.105,4515.405,4513.305,4513.305
1787184780000,4513.315,4513.965,4512.655,4512.995
1787184840000,4513.125,4515.955,4512.615,4515.775
1787184900000,4515.875,4516.395,4513.755,4514.535
1787184960000,4514.425,4516.095,4514.075,4516.075
1787185020000,4515.955,4520.395,4515.525,4519.985
1787185080000,4519.885,4520.925,4519.395,4520.035
1787185140000,4519.875,4520.615,4517.195,4517.685
1787185200000,4517.705,4517.835,4514.845,4514.995
1787185260000,4515.135,4515.135,4510.515,4510.985
1787185320000,4510.835,4512.155,4509.995,4510.395
1787185380000,4510.295,4510.965,4509.865,4510.315
1787185440000,4510.425,4511.635,4509.675,4511.485
1787185500000,4511.375,4511.395,4510.155,4510.775
1787185560000,4510.655,4511.495,4510.415,4510.495
1787185620000,4510.665,4512.055,4508.285,4508.795
1787185680000,4508.935,4512.025,4508.595,4510.725
1787185740000,4510.825,4512.455,4510.075,4510.075
1787185800000,4509.865,4512.045,4509.165,4511.195
1787185860000,4511.235,4513.145,4510.495,4511.625
1787185920000,4511.795,4512.475,4510.285,4510.915
1787185980000,4510.795,4511.235,4510.305,4510.495
1787186040000,4510.725,4511.835,4510.215,4511.125
1787186100000,4511.305,4511.475,4508.415,4508.805
1787186160000,4508.825,4511.025,4508.825,4511.015
1787186220000,4510.895,4511.395,4510.405,4511.195
1787186280000,4511.305,4511.305,4509.355,4509.455
1787186340000,4509.805,4509.805,4508.545,4508.895
1787186400000,4509.035,4509.135,4507.775,4508.065
1787186460000,4508.245,4508.615,4504.665,4504.705
1787186520000,4505.055,4506.705,4503.575,4504.205
1787186580000,4503.825,4504.355,4503.235,4503.765
1787186640000,4503.535,4506.815,4503.345,4505.475
1787186700000,4505.365,4506.945,4504.005,4506.895
1787186760000,4506.755,4507.385,4504.715,4505.895
1787186820000,4505.775,4507.015,4504.655,4506.235
1787186880000,4506.485,4506.775,4505.345,4506.425
1787186940000,4506.275,4507.805,4506.085,4507.115
1787187000000,4507.005,4509.835,4507.005,4507.955
1787187060000,4507.805,4508.285,4504.645,4505.485
1787187120000,4505.605,4506.945,4505.085,4506.835
1787187180000,4506.665,4507.365,4505.825,4507.365
1787187240000,4507.245,4507.245,4504.355,4505.785
1787187300000,4505.955,4506.465,4504.885,4505.485
1787187360000,4505.375,4506.185,4504.305,4505.915
1787187420000,4506.045,4507.925,4505.645,4507.645
1787187480000,4507.485,4510.085,4507.245,4509.195
1787187540000,4509.305,4509.305,4503.445,4504.215
1787187600000,4504.395,4509.785,4503.795,4506.525
